Sites,Site_sub,Site_sub_sub,QueryScript,psite_include,psite_exclude,hist_include,hist_exclude,dx_year,er,her2,ssf16
Nervous system,Spinal cord (not including cauda equina),,((PSite 'C720' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))),,,,,,,,
Nervous system,Meninges,,((PSite between 'C700' and 'C709' and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'),,,,,,,,
Nervous system,Cranial nerves and Other parts of NCS,,((PSite between 'C721' and 'C729') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992'))),,,,,,,,
Endocrine system,Thyroid,,((PSite = 'C739') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Endocrine system,Thyroid,Thyroid - Papillary,"((PSite = 'C739') and ( HistTypeICDO3 in ('8050', '8130', '8260', '8503') or (HistTypeICDO3 between '8340' and '8344')) )",,,,,,,,
Endocrine system,Thyroid,Thyroid - Follicular,((PSite = 'C739') and ((HistTypeICDO3 between '8330' and '8332') or (HistTypeICDO3 between '8334' and '8335')) ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Medullary,((PSite = 'C739') and ((HistTypeICDO3 between '8510' and '8513') or (HistTypeICDO3 = '8345')) ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Hurthle cell,((PSite = 'C739') and (HistTypeICDO3 = '8345') ),,,,,,,,
Endocrine system,Thyroid,Thyroid - Other = All thyroid minus subtypes,"((PSite = 'C739') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992' or HistTypeICDO3 in ('8050', '8130', '8260', '8503') or HistTypeICDO3 between '8340' and '8344' or HistTypeICDO3 between '8330' and '8332' or HistTypeICDO3 between '8334' and '8335' or HistTypeICDO3 between '8510' and '8513' or HistTypeICDO3 = '8345' or HistTypeICDO3 = '8345')",,,,,,,,
Endocrine system,Other Endocrine including Thymus,,((PSite = 'C379' or PSite between 'C740' and 'C749' or PSite between 'C750' and 'C759') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')),,,,,,,,
Lymphoma,Hodgkin Lymphoma,,"(((PSite in ('C024','C111', 'C142', 'C379', 'C422') or PSite between 'C098' and 'C099' or PSite between 'C770' and 'C779') and (HistTypeICDO3 between '9650' and '9667')) or (HistTypeICDO3 between '9650' and '9667'))",,,,,,,,
Lymphoma,Hodgkin Lymphoma,Hodgkin - Nodal,"((NOT (PSite in ('C024','C111','C142','C379','C420','C421','C422','C424')
OR PSite between 'C098' and 'C099'
OR PSite between 'C770' and 'C779'))
AND (
HistTypeICDO3 between '9590' and '9597'
OR HistTypeICDO3 between '9670' and '9671'
OR ((NOT (PSite in ('C024','C111','C142','C379','C420','C421','C422','C424')
OR PSite between 'C098' and 'C099'
OR PSite between 'C770' and 'C779'))
AND (HistTypeICDO3 between '9811' and '9819'
OR HistTypeICDO3 in ('9823','9827','9837')))
))","{'in': ['C024', 'C111', 'C142', 'C379', 'C422'], 'between': [['C098', 'C099'], ['C770', 'C779']]}",,"{'between': [['9650', '9667']]}",,,,,
Lymphoma,Hodgkin Lymphoma,Hodgkin - Extranodal,"(NOT(PSite in ('C024','C111','C142','C379','C422') OR PSite between 'C098' and 'C099' OR PSite between 'C770' and 'C779') AND HistTypeICDO3 between '9650' and '9667')",,,,,,,,
Lymphoma,Non-Hodgkin Lymphoma,,"(((PSite in ('C024', 'C098', 'C099', 'C111', 'C142', 'C379', 'C422') or PSite between 'C770' and 'C779') and (HistTypeICDO3 between '9590 'and '9597' or HistTypeICDO3 between '9670' and '9671' or HistTypeICDO3 in ('9673','9675','9684','9695','9705','9712','9735','9823','9827','9837') or HistTypeICDO3 between '9678' and '9680' or HistTypeICDO3 between '9687' and '9691' or HistTypeICDO3 between '9698' and '9702' or HistTypeICDO3 between '9708' and '9709' or HistTypeICDO3 between '9714' and '9719' or HistTypeICDO3 between '9724' and '9729' or HistTypeICDO3 between '9737' and '9738' or HistTypeICDO3 between '9811' and '9818')) or (NOT(PSite in ('C024','C111','C142','C379','C422') or PSite between 'C098' and 'C099' or PSite between 'C770' and 'C779') and (HistTypeICDO3 between '9590' and '9597' or HistTypeICDO3 between '9670' and '9671' or HistTypeICDO3 in ('9673','9675','9684','9687','9688','9695','9705','9712','9735','9737','9738') or HistTypeICDO3 between '9678' and '9680' or HistTypeICDO3 between '9689' and '9691' or HistTypeICDO3 between '9698' and '9702' or HistTypeICDO3 between '9708' and '9709' or HistTypeICDO3 between '9714' and '9719' or HistTypeICDO3 between '9724' and '9729')) or (NOT(PSite in ('C024','C111', 'C142','C379','C424') or PSite between 'C098' and 'C099' or PSite between 'C420' and 'C422' or PSite between 'C770' and 'C779') and (HistTypeICDO3 between '9811' and '9818' or HistTypeICDO3 in ('9823','9827','9837'))))",,,,,,,,
Lymphoma,Non-Hodgkin Lymphoma,Non-Hodgkin - Nodal,"((PSite in ('C024','C098','C099','C111','C142','C379','C422') 
OR PSite between 'C770' and 'C779') 
AND (
HistTypeICDO3 between '9590' and '9597'
OR HistTypeICDO3 between '9670' and '9671'
OR HistTypeICDO3 in ('9673','9675','9684','9695','9705','9712','9735','9823','9827','9837')
OR HistTypeICDO3 between '9678' and '9680'
OR HistTypeICDO3 between '9687' and '9691'
OR HistTypeICDO3 between '9698' and '9702'
OR HistTypeICDO3 between '9708' and '9709'
OR HistTypeICDO3 between '9714' and '9719'
OR HistTypeICDO3 between '9724' and '9729'
OR HistTypeICDO3 between '9811' and '9818'
))","{'in': ['C024', 'C098', 'C099', 'C111', 'C142', 'C379', 'C422'], 'between': [['C770', 'C779']]}",,"{'in': ['9673', '9675', '9684', '9695', '9705', '9712', '9735', '9823', '9827', '9837'], 'between': [['9590', '9597'], ['9670', '9671'], ['9678', '9680'], ['9687', '9691'], ['9698', '9702'], ['9708', '9709'], ['9714', '9719'], ['9724', '9729'], ['9811', '9818']]}",,,,,
Lymphoma,Non-Hodgkin Lymphoma,Non-Hodgkin - Extranodal,"(
(
NOT(PSite in ('C024','C098','C099','C111','C142','C379','C422') 
OR PSite between 'C770' and 'C779')
AND (
HistTypeICDO3 between '9590' and '9597'
OR HistTypeICDO3 between '9670' and '9671'
OR HistTypeICDO3 in ('9673','9675','9684','9687','9688','9695','9705','9712','9735','9737','9738')
OR HistTypeICDO3 between '9678' and '9680'
OR HistTypeICDO3 between '9689' and '9691'
OR HistTypeICDO3 between '9698' and '9702'
OR HistTypeICDO3 between '9708' and '9709'
OR HistTypeICDO3 between '9714' and '9719'
OR HistTypeICDO3 between '9724' and '9729'
))
OR
(
NOT(PSite in ('C024','C098','C099','C111','C142','C379','C420','C421','C422','C424') 
OR PSite between 'C770' and 'C779')
AND (
HistTypeICDO3 between '9811' and '9819'
OR HistTypeICDO3 in ('9823','9827','9837')
))
)",,,,,,,,
Myeloma,,,(HistTypeICDO3 between '9731' and '9732' or HistTypeICDO3 = '9734'),,,,,,,,
Leukemia,Lymphocytic Leukemia,Acute Lymphocytic Leukemia,"((HistTypeICDO3 = '9826' or HistTypeICDO3 between '9835' and '9836') or ((PSite in ('C420','C421','C424') and (HistTypeICDO3 between '9811' and '9818' or HistTypeICDO3 = '9837'))))",,,,,,,,
Leukemia,Lymphocytic Leukemia,Chronic Lymphocytic Leukemia,"(PSite in ('C420','C421','C424') and HistTypeICDO3 = '9823')",,,,,,,,
Leukemia,Lymphocytic Leukemia,Other Lymphocytic Leukemia,"(HistTypeICDO3 in ('9820','9940') or HistTypeICDO3 between '9832' and '9834')",,,,,,,,
Leukemia,Myeloid and Monocytic Leukemia,Acute Myeloid Leukemia,"(HistTypeICDO3 in ('9840','9861','9869','9898','9920') or HistTypeICDO3 between '9865' and '9867' or HistTypeICDO3 between '9871' and '9874' or HistTypeICDO3 between '9895' and '9897' or HistTypeICDO3 between '9910' and '9911')",,,,,,,,
Leukemia,Myeloid and Monocytic Leukemia,Acute Monocytic Leukemia,(HistTypeICDO3 = '9891'),,,,,,,,
Leukemia,Myeloid and Monocytic Leukemia,Chronic Myeloid Leukemia,(HistTypeICDO3 = '9863' or HistTypeICDO3 between '9875' and '9876' or HistTypeICDO3 between '9945' and '9946'),,,,,,,,
Leukemia,Myeloid and Monocytic Leukemia,Other Myeloid/Monocytic Leukemia,"(HistTypeICDO3 in ('9860','9930'))",,,,,,,,
Leukemia,Other Leukemias,Other Acute Leukemia,"((HistTypeICDO3 in ('9801','9931') or HistTypeICDO3 between '9805' and '9809'))",,,,,,,,
Leukemia,Other Leukemias,"Aleukemic, subleukemic and NOS","((PSite in ('C420','C421','C424') and HistTypeICDO3 = '9827') or (HistTypeICDO3 in ('9733','9742','9800','9831','9870','9948') or HistTypeICDO3 between '9963' and '9964'))",,,,,,,,
Mesothelioma,,,(HistTypeICDO3 between '9050' and '9055'),,,,,,,,
Kaposi Sarcoma,,,(HistTypeICDO3 = '9140'),,,,,,,,
Miscellaneous,,,"((HistTypeICDO3 in ('9950','9975','9980','9989') or HistTypeICDO3 between '9740' and '9741' or HistTypeICDO3 between '9750' and '9769' or HistTypeICDO3 between '9960' and '9962' or HistTypeICDO3 between '9965' and '9967' or HistTypeICDO3 between '9970' and '9971' or HistTypeICDO3 between '9982' and '9987' or HistTypeICDO3 between '9991' and '9992') or ((PSite between 'C760' and 'C768' or PSite = 'C809') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) or ((PSite between 'C420' and 'C424') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')) or ((PSite between 'C770' and 'C779') and NOT(HistTypeICDO3 between '9050' and '9055' or HistTypeICDO3 = '9140' or HistTypeICDO3 between '9590' and '9992')))",,,,,,,,
